"State Exports by HS Commodities"
"Current date: 04/21/2016 11:13 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Total"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2011","18,316,969,121"
"All Commodities","January 2011","1,477,269,935"
"All Commodities","February 2011","1,505,167,952"
"All Commodities","March 2011","1,688,791,176"
"All Commodities","April 2011","1,602,784,183"
"All Commodities","May 2011","1,651,721,735"
"All Commodities","June 2011","1,597,028,017"
"All Commodities","July 2011","1,452,124,405"
"All Commodities","August 2011","1,527,904,163"
"All Commodities","September 2011","1,368,914,514"
"All Commodities","October 2011","1,389,672,169"
"All Commodities","November 2011","1,543,446,089"
"All Commodities","December 2011","1,512,144,783"
"All Commodities","February 2016","1,549,522,924"
"01 Live Animals","2011","1,105,112"
"01 Live Animals","January 2011","135,750"
"01 Live Animals","February 2011","37,591"
"01 Live Animals","March 2011","73,260"
"01 Live Animals","April 2011","207,594"
"01 Live Animals","May 2011","151,448"
"01 Live Animals","June 2011","78,162"
"01 Live Animals","July 2011","38,910"
"01 Live Animals","August 2011","60,337"
"01 Live Animals","September 2011","98,983"
"01 Live Animals","October 2011","112,057"
"01 Live Animals","November 2011","50,967"
"01 Live Animals","December 2011","60,053"
"01 Live Animals","February 2016","22,680"
"0101 Horses, Asses, Mules And Hinnies, Live","2011","586,320"
"0101 Horses, Asses, Mules And Hinnies, Live","January 2011","22,547"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2011","27,591"
"0101 Horses, Asses, Mules And Hinnies, Live","March 2011","15,515"
"0101 Horses, Asses, Mules And Hinnies, Live","April 2011","33,986"
"0101 Horses, Asses, Mules And Hinnies, Live","May 2011","69,528"
"0101 Horses, Asses, Mules And Hinnies, Live","June 2011","35,679"
"0101 Horses, Asses, Mules And Hinnies, Live","July 2011","38,910"
"0101 Horses, Asses, Mules And Hinnies, Live","August 2011","47,181"
"0101 Horses, Asses, Mules And Hinnies, Live","September 2011","98,983"
"0101 Horses, Asses, Mules And Hinnies, Live","October 2011","88,094"
