"State Exports by HS Commodities"
"Current date: 04/21/2016 11:11 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Total"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2012","18,387,857,493"
"All Commodities","January 2012","1,271,090,736"
"All Commodities","February 2012","1,524,488,067"
"All Commodities","March 2012","1,455,645,939"
"All Commodities","April 2012","1,601,411,036"
"All Commodities","May 2012","1,674,448,891"
"All Commodities","June 2012","1,589,041,414"
"All Commodities","July 2012","1,513,127,210"
"All Commodities","August 2012","1,736,352,385"
"All Commodities","September 2012","1,546,816,343"
"All Commodities","October 2012","1,409,421,079"
"All Commodities","November 2012","1,627,682,036"
"All Commodities","December 2012","1,438,332,357"
"All Commodities","February 2016","1,549,522,924"
"01 Live Animals","2012","1,733,931"
"01 Live Animals","January 2012","23,242"
"01 Live Animals","February 2012","37,511"
"01 Live Animals","March 2012","231,962"
"01 Live Animals","April 2012","165,891"
"01 Live Animals","May 2012","116,328"
"01 Live Animals","June 2012","75,184"
"01 Live Animals","July 2012","94,948"
"01 Live Animals","August 2012","128,170"
"01 Live Animals","September 2012","353,302"
"01 Live Animals","October 2012","282,105"
"01 Live Animals","November 2012","171,527"
"01 Live Animals","December 2012","53,761"
"01 Live Animals","February 2016","22,680"
"0101 Horses, Asses, Mules And Hinnies, Live","2012","903,998"
"0101 Horses, Asses, Mules And Hinnies, Live","January 2012","23,242"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2012","37,511"
"0101 Horses, Asses, Mules And Hinnies, Live","March 2012","218,543"
"0101 Horses, Asses, Mules And Hinnies, Live","April 2012","26,099"
"0101 Horses, Asses, Mules And Hinnies, Live","May 2012","58,788"
"0101 Horses, Asses, Mules And Hinnies, Live","June 2012","33,983"
"0101 Horses, Asses, Mules And Hinnies, Live","July 2012","77,698"
"0101 Horses, Asses, Mules And Hinnies, Live","August 2012","51,746"
"0101 Horses, Asses, Mules And Hinnies, Live","September 2012","56,909"
"0101 Horses, Asses, Mules And Hinnies, Live","October 2012","105,464"
"0101 Horses, Asses, Mules And Hinnies, Live","November 2012","160,254"
"0101 Horses, Asses, Mules And Hinnies, Live","December 2012","53,761"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2016","19,980"
"010121 Horses, Live, Purebred Breeding","2012","30,899"
"010121 Horses, Live, Purebred Breeding","May 2012","9,685"
"010121 Horses, Live, Purebred Breeding","September 2012","10,505"
"010121 Horses, Live, Purebred Breeding","November 2012","5,591"
"010121 Horses, Live, Purebred Breeding","December 2012","5,118"
"010129 Horses, Live, Other Than Purebred Breeding","2012","873,099"
"010129 Horses, Live, Other Than Purebred Breeding","January 2012","23,242"
"010129 Horses, Live, Other Than Purebred Breeding","February 2012","37,511"
"010129 Horses, Live, Other Than Purebred Breeding","March 2012","218,543"
"010129 Horses, Live, Other Than Purebred Breeding","April 2012","26,099"
"010129 Horses, Live, Other Than Purebred Breeding","May 2012","49,103"
"010129 Horses, Live, Other Than Purebred Breeding","June 2012","33,983"
"010129 Horses, Live, Other Than Purebred Breeding","July 2012","77,698"
"010129 Horses, Live, Other Than Purebred Breeding","August 2012","51,746"
"010129 Horses, Live, Other Than Purebred Breeding","September 2012","46,404"
"010129 Horses, Live, Other Than Purebred Breeding","October 2012","105,464"
"010129 Horses, Live, Other Than Purebred Breeding","November 2012","154,663"
"010129 Horses, Live, Other Than Purebred Breeding","December 2012","48,643"
"010129 Horses, Live, Other Than Purebred Breeding","February 2016","19,980"
"0102 Bovine Animals, Live","2012","407,998"
"0102 Bovine Animals, Live","March 2012","13,419"
"0102 Bovine Animals, Live","April 2012","81,217"
"0102 Bovine Animals, Live","May 2012","57,540"
"0102 Bovine Animals, Live","June 2012","41,201"
"0102 Bovine Animals, Live","September 2012","26,707"
"0102 Bovine Animals, Live","October 2012","176,641"
"0102 Bovine Animals, Live","November 2012","11,273"
"010221 Cattle, Live, Purebred Breeding","2012","120,623"
"010221 Cattle, Live, Purebred Breeding","April 2012","30,230"
"010221 Cattle, Live, Purebred Breeding","June 2012","4,076"
"010221 Cattle, Live, Purebred Breeding","September 2012","26,707"
"010221 Cattle, Live, Purebred Breeding","October 2012","59,610"
"010229 Cattle, Live, Other Than Purebred Breeding","2012","276,697"
"010229 Cattle, Live, Other Than Purebred Breeding","March 2012","13,419"
"010229 Cattle, Live, Other Than Purebred Breeding","April 2012","50,987"
"010229 Cattle, Live, Other Than Purebred Breeding","May 2012","57,540"
"010229 Cattle, Live, Other Than Purebred Breeding","June 2012","26,447"
"010229 Cattle, Live, Other Than Purebred Breeding","October 2012","117,031"
"010229 Cattle, Live, Other Than Purebred Breeding","November 2012","11,273"
"010231 Buffalo, Live, Purebred Breeding","2012","10,678"
"010231 Buffalo, Live, Purebred Breeding","June 2012","10,678"
"0104 Sheep And Goats, Live","2012","125,138"
"0104 Sheep And Goats, Live","September 2012","125,138"
"010410 Sheep, Live","2012","105,102"
"010410 Sheep, Live","September 2012","105,102"
"010420 Goats, Live","2012","20,036"
"010420 Goats, Live","September 2012","20,036"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","2012","76,424"
"0105 Chickens, Ducks, Geese, Turkeys, And Guineas, Live","August 2012","76,424"
"010511 Chickens, Live, Weighing Not Over 185 G Each","2012","76,424"
"010511 Chickens, Live, Weighing Not Over 185 G Each","August 2012","76,424"
"0106 Animals, Live, Nesoi","2012","220,373"
"0106 Animals, Live, Nesoi","April 2012","58,575"
"0106 Animals, Live, Nesoi","July 2012","17,250"
"0106 Animals, Live, Nesoi","September 2012","144,548"
"0106 Animals, Live, Nesoi","February 2016","2,700"
"010613 Camels And Other Camelids (camelidae), Live","2012","144,548"
"010613 Camels And Other Camelids (camelidae), Live","September 2012","144,548"
"010619 Mammals, Live, Nesoi","2012","34,500"
"010619 Mammals, Live, Nesoi","April 2012","17,250"
"010619 Mammals, Live, Nesoi","July 2012","17,250"
"010619 Mammals, Live, Nesoi","February 2016","2,700"
"010690 Animals, Live, Nesoi","2012","41,325"
"010690 Animals, Live, Nesoi","April 2012","41,325"
"02 Meat And Edible Meat Offal","2012","28,048,865"
"02 Meat And Edible Meat Offal","January 2012","2,211,030"
"02 Meat And Edible Meat Offal","February 2012","1,990,403"
"02 Meat And Edible Meat Offal","March 2012","2,223,824"
"02 Meat And Edible Meat Offal","April 2012","2,036,161"
"02 Meat And Edible Meat Offal","May 2012","3,469,077"
"02 Meat And Edible Meat Offal","June 2012","2,092,782"
"02 Meat And Edible Meat Offal","July 2012","2,199,445"
"02 Meat And Edible Meat Offal","August 2012","2,573,563"
"02 Meat And Edible Meat Offal","September 2012","2,110,366"
"02 Meat And Edible Meat Offal","October 2012","2,226,439"
"02 Meat And Edible Meat Offal","November 2012","2,373,679"
"02 Meat And Edible Meat Offal","December 2012","2,542,096"
"02 Meat And Edible Meat Offal","February 2016","3,581,158"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2012","18,128"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","February 2012","8,534"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","March 2012","9,594"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","February 2016","18,836"
"020120 Meat, Bovine Cuts With Bone In, Fresh Or Chilled","February 2016","8,838"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","2012","18,128"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","February 2012","8,534"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","March 2012","9,594"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","February 2016","9,998"
"0202 Meat Of Bovine Animals, Frozen","2012","116,860"
"0202 Meat Of Bovine Animals, Frozen","January 2012","39,726"
"0202 Meat Of Bovine Animals, Frozen","February 2012","3,642"
"0202 Meat Of Bovine Animals, Frozen","March 2012","8,090"
"0202 Meat Of Bovine Animals, Frozen","August 2012","28,133"
"0202 Meat Of Bovine Animals, Frozen","October 2012","9,643"
"0202 Meat Of Bovine Animals, Frozen","November 2012","27,626"
"0202 Meat Of Bovine Animals, Frozen","February 2016","18,376"
"020230 Meat Of Bovine Animals, Boneless, Frozen","2012","116,860"
"020230 Meat Of Bovine Animals, Boneless, Frozen","January 2012","39,726"
"020230 Meat Of Bovine Animals, Boneless, Frozen","February 2012","3,642"
