"State Exports by HS Commodities"
"Current date: 04/21/2016 11:14 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Total"
"Country: World Total"
"Commodity","Time","Total Value ($US)",
"All Commodities","2010","17,684,177,481"
"All Commodities","January 2010","1,440,707,962"
"All Commodities","February 2010","1,418,826,334"
"All Commodities","March 2010","1,648,955,498"
"All Commodities","April 2010","1,550,116,472"
"All Commodities","May 2010","1,454,083,044"
"All Commodities","June 2010","1,471,357,908"
"All Commodities","July 2010","1,305,555,201"
"All Commodities","August 2010","1,455,299,568"
"All Commodities","September 2010","1,414,400,807"
"All Commodities","October 2010","1,433,110,924"
"All Commodities","November 2010","1,588,833,751"
"All Commodities","December 2010","1,502,930,012"
"All Commodities","February 2016","1,549,522,924"
"01 Live Animals","2010","1,736,021"
"01 Live Animals","January 2010","72,779"
"01 Live Animals","February 2010","137,705"
"01 Live Animals","March 2010","244,571"
"01 Live Animals","April 2010","157,666"
"01 Live Animals","May 2010","145,942"
"01 Live Animals","June 2010","280,050"
"01 Live Animals","July 2010","110,052"
"01 Live Animals","August 2010","207,490"
"01 Live Animals","September 2010","49,767"
"01 Live Animals","October 2010","159,374"
"01 Live Animals","November 2010","142,119"
"01 Live Animals","December 2010","28,506"
"01 Live Animals","February 2016","22,680"
"0101 Horses, Asses, Mules And Hinnies, Live","2010","598,368"
"0101 Horses, Asses, Mules And Hinnies, Live","January 2010","20,036"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2010","32,288"
"0101 Horses, Asses, Mules And Hinnies, Live","March 2010","41,060"
"0101 Horses, Asses, Mules And Hinnies, Live","April 2010","55,835"
"0101 Horses, Asses, Mules And Hinnies, Live","May 2010","43,041"
"0101 Horses, Asses, Mules And Hinnies, Live","June 2010","46,186"
"0101 Horses, Asses, Mules And Hinnies, Live","July 2010","41,010"
"0101 Horses, Asses, Mules And Hinnies, Live","August 2010","116,679"
"0101 Horses, Asses, Mules And Hinnies, Live","September 2010","49,767"
"0101 Horses, Asses, Mules And Hinnies, Live","October 2010","58,041"
"0101 Horses, Asses, Mules And Hinnies, Live","November 2010","65,919"
"0101 Horses, Asses, Mules And Hinnies, Live","December 2010","28,506"
"0101 Horses, Asses, Mules And Hinnies, Live","February 2016","19,980"
"010110 Purebred Breeding Animal","2010","41,947"
"010110 Purebred Breeding Animal","March 2010","13,558"
"010110 Purebred Breeding Animal","May 2010","3,949"
"010110 Purebred Breeding Animal","August 2010","7,500"
"010110 Purebred Breeding Animal","September 2010","5,037"
"010110 Purebred Breeding Animal","November 2010","4,052"
"010110 Purebred Breeding Animal","December 2010","7,851"
"010129 Horses, Live, Other Than Purebred Breeding","February 2016","19,980"
"010190 Mules And Hinnies, Live","2010","556,421"
"010190 Mules And Hinnies, Live","January 2010","20,036"
"010190 Mules And Hinnies, Live","February 2010","32,288"
"010190 Mules And Hinnies, Live","March 2010","27,502"
"010190 Mules And Hinnies, Live","April 2010","55,835"
"010190 Mules And Hinnies, Live","May 2010","39,092"
"010190 Mules And Hinnies, Live","June 2010","46,186"
"010190 Mules And Hinnies, Live","July 2010","41,010"
"010190 Mules And Hinnies, Live","August 2010","109,179"
"010190 Mules And Hinnies, Live","September 2010","44,730"
"010190 Mules And Hinnies, Live","October 2010","58,041"
"010190 Mules And Hinnies, Live","November 2010","61,867"
"010190 Mules And Hinnies, Live","December 2010","20,655"
"0102 Bovine Animals, Live","2010","256,404"
"0102 Bovine Animals, Live","March 2010","41,100"
"0102 Bovine Animals, Live","April 2010","16,746"
"0102 Bovine Animals, Live","June 2010","45,709"
"0102 Bovine Animals, Live","August 2010","10,000"
"0102 Bovine Animals, Live","October 2010","66,649"
"0102 Bovine Animals, Live","November 2010","76,200"
"010210 Bovine Animals, Live, Purebred Breeding","2010","144,046"
"010210 Bovine Animals, Live, Purebred Breeding","March 2010","41,100"
"010210 Bovine Animals, Live, Purebred Breeding","April 2010","16,746"
"010210 Bovine Animals, Live, Purebred Breeding","August 2010","10,000"
"010210 Bovine Animals, Live, Purebred Breeding","November 2010","76,200"
"010290 Bovine Animals, Live, Nesoi","2010","112,358"
"010290 Bovine Animals, Live, Nesoi","June 2010","45,709"
"010290 Bovine Animals, Live, Nesoi","October 2010","66,649"
"0104 Sheep And Goats, Live","2010","853,712"
"0104 Sheep And Goats, Live","January 2010","52,743"
"0104 Sheep And Goats, Live","February 2010","101,083"
"0104 Sheep And Goats, Live","March 2010","162,411"
"0104 Sheep And Goats, Live","April 2010","80,512"
"0104 Sheep And Goats, Live","May 2010","102,901"
"0104 Sheep And Goats, Live","June 2010","188,155"
"0104 Sheep And Goats, Live","July 2010","69,042"
"0104 Sheep And Goats, Live","August 2010","65,420"
"0104 Sheep And Goats, Live","October 2010","31,445"
"010410 Sheep, Live","2010","743,186"
"010410 Sheep, Live","January 2010","44,247"
"010410 Sheep, Live","February 2010","101,083"
"010410 Sheep, Live","March 2010","150,839"
"010410 Sheep, Live","April 2010","77,654"
"010410 Sheep, Live","May 2010","80,082"
"010410 Sheep, Live","June 2010","180,567"
"010410 Sheep, Live","July 2010","60,459"
"010410 Sheep, Live","August 2010","34,109"
"010410 Sheep, Live","October 2010","14,146"
"010420 Goats, Live","2010","110,526"
"010420 Goats, Live","January 2010","8,496"
"010420 Goats, Live","March 2010","11,572"
"010420 Goats, Live","April 2010","2,858"
"010420 Goats, Live","May 2010","22,819"
"010420 Goats, Live","June 2010","7,588"
"010420 Goats, Live","July 2010","8,583"
"010420 Goats, Live","August 2010","31,311"
"010420 Goats, Live","October 2010","17,299"
"0106 Animals, Live, Nesoi","2010","27,537"
"0106 Animals, Live, Nesoi","February 2010","4,334"
"0106 Animals, Live, Nesoi","April 2010","4,573"
"0106 Animals, Live, Nesoi","August 2010","15,391"
"0106 Animals, Live, Nesoi","October 2010","3,239"
"0106 Animals, Live, Nesoi","February 2016","2,700"
"010619 Mammals, Live, Nesoi","February 2016","2,700"
"010639 Birds, Live, Nesoi","2010","13,495"
"010639 Birds, Live, Nesoi","August 2010","10,256"
"010639 Birds, Live, Nesoi","October 2010","3,239"
"010690 Animals, Live, Nesoi","2010","14,042"
"010690 Animals, Live, Nesoi","February 2010","4,334"
"010690 Animals, Live, Nesoi","April 2010","4,573"
"010690 Animals, Live, Nesoi","August 2010","5,135"
"02 Meat And Edible Meat Offal","2010","25,899,187"
"02 Meat And Edible Meat Offal","January 2010","2,080,930"
"02 Meat And Edible Meat Offal","February 2010","1,956,018"
"02 Meat And Edible Meat Offal","March 2010","1,880,109"
"02 Meat And Edible Meat Offal","April 2010","2,248,992"
"02 Meat And Edible Meat Offal","May 2010","2,344,512"
"02 Meat And Edible Meat Offal","June 2010","1,872,379"
"02 Meat And Edible Meat Offal","July 2010","2,193,680"
"02 Meat And Edible Meat Offal","August 2010","2,149,987"
"02 Meat And Edible Meat Offal","September 2010","2,004,756"
"02 Meat And Edible Meat Offal","October 2010","2,222,137"
"02 Meat And Edible Meat Offal","November 2010","2,561,997"
"02 Meat And Edible Meat Offal","December 2010","2,383,690"
"02 Meat And Edible Meat Offal","February 2016","3,581,158"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","2010","347,422"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","March 2010","14,551"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","April 2010","102,293"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","May 2010","58,740"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","June 2010","26,616"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","July 2010","36,260"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","August 2010","40,026"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","September 2010","37,459"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","October 2010","17,971"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","November 2010","8,253"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","December 2010","5,253"
"0201 Meat Of Bovine Animals, Fresh Or Chilled","February 2016","18,836"
"020120 Meat, Bovine Cuts With Bone In, Fresh Or Chilled","February 2016","8,838"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","2010","347,422"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","March 2010","14,551"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","April 2010","102,293"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","May 2010","58,740"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","June 2010","26,616"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","July 2010","36,260"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","August 2010","40,026"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","September 2010","37,459"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","October 2010","17,971"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","November 2010","8,253"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","December 2010","5,253"
"020130 Meat Of Bovine Animals, Boneless, Fresh Or Chilled","February 2016","9,998"
"0202 Meat Of Bovine Animals, Frozen","2010","182,794"
"0202 Meat Of Bovine Animals, Frozen","January 2010","9,895"
"0202 Meat Of Bovine Animals, Frozen","April 2010","14,754"
"0202 Meat Of Bovine Animals, Frozen","September 2010","2,966"
"0202 Meat Of Bovine Animals, Frozen","December 2010","155,179"
"0202 Meat Of Bovine Animals, Frozen","February 2016","18,376"
"020220 Meat, Bovine Cuts With Bone In, Frozen","2010","161,819"
"020220 Meat, Bovine Cuts With Bone In, Frozen","January 2010","3,674"
"020220 Meat, Bovine Cuts With Bone In, Frozen","September 2010","2,966"
"020220 Meat, Bovine Cuts With Bone In, Frozen","December 2010","155,179"
"020230 Meat Of Bovine Animals, Boneless, Frozen","2010","20,975"
"020230 Meat Of Bovine Animals, Boneless, Frozen","January 2010","6,221"
"020230 Meat Of Bovine Animals, Boneless, Frozen","April 2010","14,754"
"020230 Meat Of Bovine Animals, Boneless, Frozen","February 2016","18,376"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","2010","24,432,879"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","January 2010","1,995,630"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","February 2010","1,814,957"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","March 2010","1,751,294"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","April 2010","2,061,723"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","May 2010","2,197,115"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","June 2010","1,785,337"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","July 2010","1,966,681"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","August 2010","2,058,193"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","September 2010","1,877,802"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","October 2010","2,204,166"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","November 2010","2,512,566"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","December 2010","2,207,415"
"0203 Meat Of Swine (pork), Fresh, Chilled Or Frozen","February 2016","3,487,946"
"020312 Meat, Swine, Hams, Shldrs, Bone In, Frsh Or Chlld","February 2016","1,666,067"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","2010","24,084,975"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","January 2010","1,976,107"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","February 2010","1,741,714"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","March 2010","1,748,649"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","April 2010","2,030,905"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","May 2010","2,169,535"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","June 2010","1,705,182"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","July 2010","1,961,203"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","August 2010","2,032,811"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","September 2010","1,870,674"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","October 2010","2,204,166"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","November 2010","2,440,993"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","December 2010","2,203,036"
"020319 Meat Of Swine, Nesoi, Fresh Or Chilled","February 2016","1,821,879"
"020322 Meat, Swine, Hams, Shoulders Etc, Bone In, Frozen","2010","19,523"
"020322 Meat, Swine, Hams, Shoulders Etc, Bone In, Frozen","January 2010","19,523"
