"State Imports by HS Commodities"
"Current date: 05/19/2016 10:15 PM (Eastern Daylight Time)"
"Measures: Total Value ($US)"
"State: Oregon"
"Commodity","Country","Time","Total Value ($US)",
"All Commodities","Paraguay","2015","1,119,495"
"All Commodities","Peru","2015","29,145,700"
"All Commodities","Philippines","2015","43,416,691"
"All Commodities","Poland","2015","7,152,054"
"All Commodities","Portugal","2015","6,883,409"
"All Commodities","Qatar","2015","2,750"
"All Commodities","Romania","2015","10,549,986"
"All Commodities","Russia","2015","195,415,153"
"All Commodities","Rwanda","2015","4,863"
"All Commodities","Samoa","2015","2,762"
"All Commodities","Saudi Arabia","2015","4,607,624"
"All Commodities","Senegal","2015","53,764"
"All Commodities","Serbia","2015","848,633"
"All Commodities","Sierra Leone","2015","14,141"
"All Commodities","Singapore","2015","109,054,434"
"All Commodities","Slovakia","2015","10,252,078"
"All Commodities","Slovenia","2015","4,546,370"
"All Commodities","South Africa","2015","14,612,130"
"All Commodities","Spain","2015","30,405,853"
"All Commodities","Sri Lanka","2015","32,006,602"
"All Commodities","St Helena","2015","8,912"
"All Commodities","St Kitts and Nevis","2015","10,820"
"All Commodities","Suriname","2015","99,989"
"All Commodities","Swaziland","2015","145,260"
"All Commodities","Sweden","2015","115,768,907"
"All Commodities","Switzerland","2015","113,605,633"
"All Commodities","Taiwan","2015","382,207,206"
"All Commodities","Tanzania","2015","387,010"
"All Commodities","Thailand","2015","281,658,545"
"All Commodities","Togo","2015","20,347"
"All Commodities","Tonga","2015","12,600"
"All Commodities","Trinidad and Tobago","2015","29,743,119"
"All Commodities","Tunisia","2015","1,692,108"
"All Commodities","Turkey","2015","12,373,816"
"All Commodities","Turks and Caicos Islands","2015","22,414"
"All Commodities","Uganda","2015","2,516,287"
"All Commodities","Ukraine","2015","13,270,077"
"All Commodities","United Arab Emirates","2015","1,812,908"
"All Commodities","United Kingdom","2015","165,624,603"
"All Commodities","Uruguay","2015","8,711,456"
"All Commodities","Vanuatu","2015","135,854"
"All Commodities","Venezuela","2015","9,987,985"
"All Commodities","Vietnam","2015","405,879,672"
"All Commodities","Zambia","2015","3,928"
"01 Live Animals","World Total","2015","51,006,189"
"01 Live Animals","Austria","2015","8,000"
"01 Live Animals","Canada","2015","50,973,009"
"01 Live Animals","Czech Republic","2015","2,791"
"01 Live Animals","Germany","2015","4,889"
"01 Live Animals","New Zealand","2015","14,500"
"01 Live Animals","Poland","2015","3,000"
"02 Meat And Edible Meat Offal","World Total","2015","40,962,712"
"02 Meat And Edible Meat Offal","Canada","2015","40,563,078"
"02 Meat And Edible Meat Offal","Italy","2015","18,041"
"02 Meat And Edible Meat Offal","Mexico","2015","381,593"
"03 Fish, Crustaceans & Aquatic Invertebrates","World Total","2015","41,595,705"
"03 Fish, Crustaceans & Aquatic Invertebrates","Argentina","2015","28,325"
"03 Fish, Crustaceans & Aquatic Invertebrates","Canada","2015","25,418,835"
"03 Fish, Crustaceans & Aquatic Invertebrates","Chile","2015","163,618"
"03 Fish, Crustaceans & Aquatic Invertebrates","China","2015","7,521,777"
"03 Fish, Crustaceans & Aquatic Invertebrates","Colombia","2015","47,443"
"03 Fish, Crustaceans & Aquatic Invertebrates","Ecuador","2015","63,792"
"03 Fish, Crustaceans & Aquatic Invertebrates","Iceland","2015","196,886"
"03 Fish, Crustaceans & Aquatic Invertebrates","India","2015","5,105,175"
"03 Fish, Crustaceans & Aquatic Invertebrates","Indonesia","2015","457,102"
"03 Fish, Crustaceans & Aquatic Invertebrates","Japan","2015","79,837"
"03 Fish, Crustaceans & Aquatic Invertebrates","Malawi","2015","4,998"
"03 Fish, Crustaceans & Aquatic Invertebrates","Malaysia","2015","39,722"
"03 Fish, Crustaceans & Aquatic Invertebrates","Mexico","2015","608,394"
"03 Fish, Crustaceans & Aquatic Invertebrates","Norway","2015","360,924"
"03 Fish, Crustaceans & Aquatic Invertebrates","Peru","2015","222,975"
"03 Fish, Crustaceans & Aquatic Invertebrates","Philippines","2015","60,375"
"03 Fish, Crustaceans & Aquatic Invertebrates","Singapore","2015","8,604"
"03 Fish, Crustaceans & Aquatic Invertebrates","Spain","2015","2,351"
"03 Fish, Crustaceans & Aquatic Invertebrates","Taiwan","2015","282,045"
"03 Fish, Crustaceans & Aquatic Invertebrates","Thailand","2015","908,492"
"03 Fish, Crustaceans & Aquatic Invertebrates","Turkey","2015","4,602"
"03 Fish, Crustaceans & Aquatic Invertebrates","United Kingdom","2015","9,433"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","World Total","2015","12,609,982"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Argentina","2015","251,916"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Brazil","2015","3,102,751"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Canada","2015","33,720"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","China","2015","206,208"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Denmark","2015","51,615"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","France","2015","68,212"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Indonesia","2015","374,680"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Lithuania","2015","89,036"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Mexico","2015","152,520"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Spain","2015","27,910"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Thailand","2015","3,716,907"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Ukraine","2015","3,661,332"
"04 Dairy Prods; Birds Eggs; Honey; Ed Animal Pr Nesoi","Vietnam","2015","873,175"
"05 Products Of Animal Origin, Nesoi","World Total","2015","2,542,561"
"05 Products Of Animal Origin, Nesoi","Australia","2015","82,458"
"05 Products Of Animal Origin, Nesoi","Canada","2015","888,358"
"05 Products Of Animal Origin, Nesoi","Chile","2015","541,001"
"05 Products Of Animal Origin, Nesoi","China","2015","1,020,844"
"05 Products Of Animal Origin, Nesoi","Hong Kong","2015","9,900"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","World Total","2015","16,489,145"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Canada","2015","8,810,996"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Chile","2015","118,773"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","China","2015","128,154"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Colombia","2015","5,746,029"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Costa Rica","2015","3,698"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Ecuador","2015","8,426"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","France","2015","63,185"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Guatemala","2015","54,882"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","India","2015","118,909"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Israel","2015","3,763"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Japan","2015","20,826"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Netherlands","2015","1,217,289"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","New Zealand","2015","51,838"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Poland","2015","13,090"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","South Africa","2015","83,588"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Sri Lanka","2015","8,885"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Taiwan","2015","24,132"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","Thailand","2015","7,200"
"06 Live Trees, Plants, Bulbs Etc.; Cut Flowers Etc.","United Kingdom","2015","5,482"
"07 Edible Vegetables & Certain Roots & Tubers","World Total","2015","74,872,348"
"07 Edible Vegetables & Certain Roots & Tubers","Argentina","2015","459,105"
"07 Edible Vegetables & Certain Roots & Tubers","Australia","2015","68,712"
"07 Edible Vegetables & Certain Roots & Tubers","Austria","2015","119,211"
"07 Edible Vegetables & Certain Roots & Tubers","Belgium","2015","241,543"
"07 Edible Vegetables & Certain Roots & Tubers","Belize","2015","65,499"
"07 Edible Vegetables & Certain Roots & Tubers","Bolivia","2015","204,600"
"07 Edible Vegetables & Certain Roots & Tubers","Bulgaria","2015","57,128"
"07 Edible Vegetables & Certain Roots & Tubers","Canada","2015","34,539,116"
"07 Edible Vegetables & Certain Roots & Tubers","China","2015","3,051,776"
"07 Edible Vegetables & Certain Roots & Tubers","Ecuador","2015","2,489,488"
"07 Edible Vegetables & Certain Roots & Tubers","Egypt","2015","7,000"
"07 Edible Vegetables & Certain Roots & Tubers","France","2015","19,210"
"07 Edible Vegetables & Certain Roots & Tubers","Guatemala","2015","13,200"
"07 Edible Vegetables & Certain Roots & Tubers","India","2015","45,282"
"07 Edible Vegetables & Certain Roots & Tubers","Israel","2015","39,954"
"07 Edible Vegetables & Certain Roots & Tubers","Italy","2015","91,837"
