 41011	2002	100
 41013	2007	167
 41025	2002	103
 41051	2002	55
 41067	2007	225
 41007	2002	26
 41029	2007	400
 41035	2007	205
 41047	2007	487
 41009	2007	117
 41027	2007	39
 41069	2002	22
 41039	2002	533
 41029	2007	344
 41007	2002	39
 41065	2002	50
 41023	2002	64
 41023	2007	78
 41061	2007	254
 41045	2002	97
 41053	2002	233
 41051	2007	58
 41015	2002	32
 41051	2002	101
 41029	2002	401
 41041	2002	60
 41019	2002	268
 41025	2007	65
 41047	2002	451
 41065	2002	93
 41025	2002	83
 41007	2007	45
 41043	2007	274
 41017	2007	341
 41057	2007	10
 41047	2002	456
 41045	2002	322
 41009	2002	109
 41051	2007	66
 41005	2002	429
 41071	2002	351
 41001	2007	81
 41015	2002	9
 41021	2007	13
 41019	2007	282
 41031	2002	173
 41043	2007	559
 41021	2007	55
 41035	2007	294
 41039	2007	533
 41001	2002	94
 41041	2002	29
 41023	2007	58
 41071	2007	284
 41037	2007	52
 41019	2007	96
 41043	2002	147
 41003	2002	12
 41061	2002	283
 41041	2002	9
 41037	2002	16
 41061	2002	10
 41055	2007	18
 41001	2002	6
 41005	2002	429
 41061	2002	11
 41003	2007	34
 41001	2002	60
 41053	2007	156
 41003	2007	37
 41041	1997	53
 41003	2007	120
 41069	2002	10
 41017	1997	15
 41067	1997	20
 41005	2007	125
 41007	2007	10
 41011	2007	12
 41041	2007	22
 41053	1997	67
 41013	1997	23
 41033	1997	23
 41061	2002	28
 41037	2002	11
 41023	2007	27
 41039	2007	3,335
 41031	2002	30
 41055	2002	82
 41053	2002	24
 41043	1997	956
 41013	1997	35
 41029	2007	22
 41035	2007	1,207
 41067	2007	24
 41019	2007	35
 41063	2007	108
 41031	2007	55
 41027	2002	562
 41049	2007	10
 41005	2002	92
 41017	2007	16
 41005	2007	122
 41029	2007	38
 41067	1997	21
 41053	2007	20
 41057	2007	302
 41045	2002	208
 41029	1997	17
 41059	2002	1,648
 41067	2002	17
 41021	2007	45
 41011	2007	92
 41025	2002	524
 41041	2002	3
 41063	1997	41
 41067	2007	21
 41059	2007	10
 41065	2007	134
 41035	2007	515
 41067	2007	16
 41011	2002	21
 41013	2007	622
 41037	2007	26
 41047	1997	84
 41061	2007	19
 41005	2002	97
 41013	2007	2
 41021	2002	156
 41035	2002	102
 41009	2007	8
 41039	2007	57
 41017	2007	77
 41053	2007	319
 41003	2002	40
 41007	2002	18
 41071	2002	86
 41039	1997	626
 41031	1997	25
 41069	2007	6
 41007	2007	20
 41043	2007	919
 41019	2002	268
 41023	2007	119
 41011	2007	31
 41005	1997	22
 41047	2007	43
 41007	2002	1
 41017	2002	18
 41029	2002	20
 41063	2002	5
 41057	2002	8
 41025	2002	285
 41003	1997	26
 41041	2002	18
 41003	1997	41
 41039	1997	87
 41039	2007	95
 41059	2007	113
 41003	2007	12
 41057	2002	83
 41063	2002	221
 41021	1997	27
 41003	2002	4
 41069	1997	61
 41013	2002	1
 41037	2002	158
 41027	1997	18
 41015	2007	23
 41029	2007	147
 41049	2002	5
 41069	1997	25
 41057	1997	10
 41021	2002	43
 41063	2002	21
 41057	1997	26
 41059	2007	304
 41037	2002	70
 41033	2002	45
 41015	2002	2
 41001	2002	29
 41027	2007	327
 41007	1997	263
 41015	2007	3
 41053	2002	30
 41031	1997	88
 41005	2002	238
 41011	2002	72
 41067	2007	59
 41071	2007	24
 41067	1997	59
 41017	1997	8
 41063	2002	34
 41039	2007	241
 41007	2002	4
 41061	2002	43
 41027	1997	33
 41031	2002	29
 41047	2007	25
 41007	2002	7
 41017	2007	336
 41009	2007	6
 41053	1997	49
 41061	1997	52
 41033	2002	10
 41043	1997	87
 41003	2002	48
 41041	1997	372
 41005	2002	15
 41065	1997	144
 41009	1997	21
 41051	2002	26
 41023	1997	80
 41039	2007	26
 41025	2002	8
 41063	2002	18
