 41009	2007	162	AREA OPERATED: (50 TO 179 ACRES)
 41061	2002	167	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41035	2007	316	AREA OPERATED: (50 TO 179 ACRES)
 41067	2002	804	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41039	1997	53	AREA OPERATED: (500 TO 999 ACRES)
 41007	2007	61	AREA OPERATED: (50 TO 179 ACRES)
 41005	2007	543	AREA OPERATED: (50 TO 179 ACRES)
 41049	2007	46	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41035	2007	198	AREA OPERATED: (180 TO 499 ACRES)
 41003	2007	24	AREA OPERATED: (1,000 OR MORE ACRES)
 41065	1997	55	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41003	2002	148	AREA OPERATED: (50 TO 179 ACRES)
 41045	2007	293	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41033	2002	33	AREA OPERATED: (180 TO 499 ACRES)
 41031	2002	59	AREA OPERATED: (1,000 OR MORE ACRES)
 41057	1997	86	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41039	1997	1,070	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41011	1997	95	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41063	1997	114	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41023	2007	65	AREA OPERATED: (50 TO 179 ACRES)
 41065	2007	50	AREA OPERATED: (500 TO 999 ACRES)
 41017	2002	65	AREA OPERATED: (180 TO 499 ACRES)
 41039	2007	61	AREA OPERATED: (500 TO 999 ACRES)
 41041	2007	67	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41007	2002	99	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41041	2002	187	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	1997	825	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2002	81	AREA OPERATED: (500 TO 999 ACRES)
 41053	2007	32	AREA OPERATED: (1,000 OR MORE ACRES)
 41029	1997	536	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41019	2002	77	AREA OPERATED: (1,000 OR MORE ACRES)
 41063	2002	48	AREA OPERATED: (500 TO 999 ACRES)
 41015	2002	22	AREA OPERATED: (500 TO 999 ACRES)
 41027	2007	205	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41027	2007	19	AREA OPERATED: (180 TO 499 ACRES)
 41047	2002	1,030	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41009	1997	13	AREA OPERATED: (500 TO 999 ACRES)
 41011	2002	255	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41021	2007	20	AREA OPERATED: (500 TO 999 ACRES)
 41049	2007	50	AREA OPERATED: (50 TO 179 ACRES)
 41071	2002	28	AREA OPERATED: (1,000 OR MORE ACRES)
 41045	2002	353	AREA OPERATED: (50 TO 179 ACRES)
 41023	2007	37	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41051	2007	2	AREA OPERATED: (1,000 OR MORE ACRES)
 41055	2007	4	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41071	2007	118	AREA OPERATED: (180 TO 499 ACRES)
 41063	1997	61	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41037	2002	94	AREA OPERATED: (50 TO 179 ACRES)
 41009	2002	186	AREA OPERATED: (50 TO 179 ACRES)
 41051	2002	5	AREA OPERATED: (1,000 OR MORE ACRES)
 41041	2007	34	AREA OPERATED: (180 TO 499 ACRES)
 41005	2007	12	AREA OPERATED: (1,000 OR MORE ACRES)
 41063	2007	70	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41001	2002	108	AREA OPERATED: (180 TO 499 ACRES)
 41045	2007	101	AREA OPERATED: (500 TO 999 ACRES)
 41007	1997	106	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2002	274	AREA OPERATED: (180 TO 499 ACRES)
 41047	2007	1,031	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41019	2002	309	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41017	2007	758	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41055	1997	21	AREA OPERATED: (500 TO 999 ACRES)
 41037	2002	61	AREA OPERATED: (500 TO 999 ACRES)
 41063	2007	113	AREA OPERATED: (1,000 OR MORE ACRES)
 41031	2002	108	AREA OPERATED: (50 TO 179 ACRES)
 41025	1997	81	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41005	2002	156	AREA OPERATED: (180 TO 499 ACRES)
 41031	1997	47	AREA OPERATED: (500 TO 999 ACRES)
 41019	1997	363	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41039	2002	151	AREA OPERATED: (180 TO 499 ACRES)
 41057	2002	7	AREA OPERATED: (500 TO 999 ACRES)
 41049	2002	39	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41069	2002	7	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41007	1997	5	AREA OPERATED: (500 TO 999 ACRES)
 41001	2007	67	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41045	2007	348	AREA OPERATED: (50 TO 179 ACRES)
 41015	1997	43	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41041	2007	2	AREA OPERATED: (1,000 OR MORE ACRES)
 41051	2007	241	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41043	2007	86	AREA OPERATED: (1,000 OR MORE ACRES)
 41025	2002	89	AREA OPERATED: (180 TO 499 ACRES)
 41041	1997	165	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41071	2007	1,012	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41047	2002	50	AREA OPERATED: (1,000 OR MORE ACRES)
 41023	2002	79	AREA OPERATED: (50 TO 179 ACRES)
 41045	2002	135	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41023	1997	49	AREA OPERATED: (500 TO 999 ACRES)
 41027	1997	246	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41001	2002	161	AREA OPERATED: (50 TO 179 ACRES)
 41003	2002	65	AREA OPERATED: (180 TO 499 ACRES)
 41029	2007	564	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41045	2002	307	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41055	2002	25	AREA OPERATED: (500 TO 999 ACRES)
 41033	2002	117	AREA OPERATED: (50 TO 179 ACRES)
 41043	2002	84	AREA OPERATED: (1,000 OR MORE ACRES)
 41025	2007	48	AREA OPERATED: (500 TO 999 ACRES)
 41025	2002	15	AREA OPERATED: (1.0 TO 9.9 ACRES)
 41005	2002	2,186	AREA OPERATED: (10.0 TO 49.9 ACRES)
 41007	2007	6	AREA OPERATED: (500 TO 999 ACRES)
 41039	2002	484	AREA OPERATED: (50 TO 179 ACRES)
