county_name, diversity_score
BAKER, 0.83376528057187471
BENTON, 2.8342143541295357
CLACKAMAS, 3.0255052135544354
CLATSOP, 1.1517084460106499
COLUMBIA, 0.85707049778897093
COOS, 1.2997043944989466
CROOK, 0.61657302499467459
CURRY, 1.169252758937994
DESCHUTES, 0.47907152932899222
DOUGLAS, 0.72890914960944342
GILLIAM, 0.63109731218162191
GRANT, 0.075753631807649116
HARNEY, 0.084266093594084823
HOOD RIVER, 1.7059848371130344
JACKSON, 1.1082514463700586
JEFFERSON, 1.8338627513139567
JOSEPHINE, 0.81801735780150431
KLAMATH, 1.1641873753930567
LAKE, 0.092355455552585605
LANE, 2.4275980511382396
LINCOLN, 0.38106637686516659
LINN, 1.9079204980303381
MALHEUR, 2.0897019583989866
MARION, 3.4157535558915448
MORROW, 1.3881482478901335
MULTNOMAH, 3.2453183598981963
POLK, 2.5738194706319377
SHERMAN, 0.42266988252765925
TILLAMOOK, 0.97941262438176935
UMATILLA, 1.8437023733328006
UNION, 1.9685872310449637
WALLOWA, 1.2641178050583075
WASCO, 1.1237618542885577
WASHINGTON, 3.5353011303953013
WHEELER, 0.24465237277064195
YAMHILL, 3.090924124228148
